ACADEMIC CALENDAR,,,,,,,,,,,,,,,,,,,,,,,
(MONSOON SEMESTER 2023),,,,,,,,,,,,,,,,,,,,,,,
Week 0 (Aug),,,,,,Week 1 (Aug),,,,,,Week 2 (Aug),,,,,,Week 3 (Aug),,,,,
Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thurs,Fri,Sat
31,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,21,22,23,24,25,26
,,3 Day Module,,,,1st Day of Class,,,,Last day of Add/ Drop,,,Independence Day,,,,,,,,,ESYA,
,,,,,H,,,,,,H,,,,,,H,,,,,,
Week 4 (Aug-Sept),,,,,,Week 5 (Sept),,,,,,Week 6 (Sept),,,,,,Week 7 (Sept),,,,,
Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat
28,29,30,31,1,2,4,5,6,7,8,9,11,12,13,14,15,16,18,19,20,21,22,23
,,Rakshabandhan,Mid Sem Feedback,,,,,,Janmashtami,Foundation Day Celebration (Post Lunch),,,,,,,,,,,,Mid Sem Exam,
,,,,,H,,,,,,H,,,,,,,,,,,,
Week 8 (Sept),,,,,,Week 9 (Oct),,,,,,Week 10 (Oct),,,,,,Week 11 (Oct),,,,,
Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat
25,26,27,28,29,30,2,3,4,5,6,7,9,10,11,12,13,14,16,17,18,19,20,21
Mid Sem Exams (22nd Sept-1 Oct),,,,,,Mid Recess,,,,,,Last day of Late Drop,,,Approval of New Courses,,,,,,,,
,,,Id-e-Milad,,H,Mahatma Gandhi's Birthday,,,,,H,,,,,,,,,,,,H
Week 12 (Oct),,,,,,Week 13 (Oct-Nov),,,,,,Week 14 (Nov),,,,,,Week 15 (Nov),,,,,
Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat
23,24,25,26,27,28,30,31,1,2,3,4,6,7,8,9,10,11,13,14,15,16,17,18
,Dussehra,,,,,,,,Pre Registration Starts,,,,,,,,,,,,,,
,,,,,H,,,,,,H,,,,,,,,,,,,H
Week 16 (Nov),,,,,,Week 17 (Nov-Dec),,,,,,Week 18 (Dec),,,,,,Week 19  (Dec),,,,,
Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat
20,21,22,23,24,25,27,28,29,30,1,2,4,5,6,7,8,9,11,12,13,14,15,16
TT-Fri,*Complete all Internal Evaluation,End Sem Feedback,,"BTP
Report Submissio n",,Guru Nanak's Birthday,Last Day of Class,End-Sem Examinations (29th Nov-10th Dec),,,,,,,,,,"BTP
Presentation","CW
Presentations","SG
Presentations",Modera tion Meeting,,
,,,,,H,,,,,,,,,,,,,Exam Copies to be shown to students,,,,,H
Week 20 (Dec),,,,,,Week 21 (Dec),,,,,,Week 22  (Dec),,,,,,Week 23 (Jan),,,,,
Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat,Mon,Tue,Wed,Thur,Fri,Sat
18,19,20,21,22,23,25,26,27,28,29,30,1,2,3,4,5,6,8,9,10,11,12,13
,,,**M.Tech. Thesis Evaluation Deadline,Result Declaraton (Tentative),Winter Vacation Starts,Christmas Day,,,,,,,,,,,,,,,,,
,,,,,,,,,,,H,,,,,,H,,,,,,H
TT: Adjusted Days,,,,,,GH: Gazetted Holidays,,,,,,,,,,,,,,,,,
20th November - FRI TT,,,,,,29-Jul,"Muharra, Saturday",,,,,30-Aug,"Raksha Bandhan, Wednesday",,,,,,28-Sep,"Id-e-Milad, Thursday",,,
,,,,,,15-Aug,"Independence Day, Tuesday",,,,,07-Sep,"Janmashtami, Thursday",,,,,,02-Oct,"Mahatma Gandhi Birthday, Monday",,,
,,,,,,24-Oct,"Dussehra, Tuesday",,,,,12-Nov,"Diwali, Sunday",,,,,,27-Nov,"Guru Nanak's Birthday, Monday",,,
,,,,,,25-Dec,"Christmas Day, Monday",,,,,,,,,,,,,,,,
H:This includes Saturdays/Sundays and GH,,,,,,*Mid Recess & Summer Vacation - For UG Students only,,,,,,,,,,,,,,,,,
TimeTable-Adjustment,,,,,,Dropped GH,,,,,,Examination Dates,,,,,,Important Dates,,,,,
*Complete all Internal Evaluation by the mentioned date and show all internal assessment marks / grades to students before the commencement of End Semester Exams,,,,,,,,,,,,,,,,,,,,,,,
**M.Tech. students are advised to check the M.Tech. Thesis/SP/CapP Evaluation Guidelines,,,,,,,,,,,,,,,,,,,,,,,
